ticker,name
0001.HK,CK Hutchison Holdings
0002.HK,CLP Holdings
0003.HK,Hong Kong & China Gas
0005.HK,HSBC Holdings
0006.HK,Power Assets Holdings
0011.HK,Hang Seng Bank
0012.HK,Henderson Land Development
0016.HK,Sun Hung Kai Properties
0017.HK,New World Development
0019.HK,Swire Pacific
0066.HK,MTR Corporation
0101.HK,Hang Lung Properties
0151.HK,Want Want China Holdings
0175.HK,Geely Automobile Holdings
0241.HK,Alibaba Health Information Technology
0267.HK,CITIC Limited
0268.HK,Kingdee International Software
0285.HK,BYD Electronic International
0291.HK,China Resources Beer
0316.HK,Orient Overseas International
0322.HK,Tingyi Cayman Islands Holding
0386.HK,China Petroleum & Chemical
0388.HK,Hong Kong Exchanges & Clearing
0669.HK,Techtronic Industries
0688.HK,China Overseas Land & Investment
0700.HK,Tencent Holdings
0728.HK,China Telecom
0762.HK,China Unicom Hong Kong
0823.HK,Link REIT
0836.HK,China Resources Power Holdings
0857.HK,PetroChina
0868.HK,Xinyi Glass Holdings
0883.HK,CNOOC
0916.HK,China Longyuan Power
0939.HK,China Construction Bank
0941.HK,China Mobile
0960.HK,Longfor Group Holdings
0968.HK,Xinyi Solar Holdings
0981.HK,SMIC
0992.HK,Lenovo Group
1038.HK,CK Infrastructure Holdings
1044.HK,Hengan International Group
1093.HK,CSPC Pharmaceutical Group
1109.HK,China Resources Land
1177.HK,Sino Biopharmaceutical
1211.HK,BYD Company
1299.HK,AIA Group
1378.HK,China Hongqiao Group
1398.HK,ICBC
1810.HK,Xiaomi Corporation
1876.HK,Budweiser APAC
1928.HK,Sands China
1997.HK,Wharf Real Estate Investment
2018.HK,AAC Technologies Holdings
2020.HK,ANTA Sports Products
2269.HK,WuXi Biologics
2313.HK,Shenzhou International Group
2318.HK,Ping An Insurance
2319.HK,China Mengniu Dairy
2382.HK,Sunny Optical Technology
2388.HK,BOC Hong Kong Holdings
2628.HK,China Life Insurance
2688.HK,ENN Energy Holdings
2899.HK,Zijin Mining Group
3328.HK,Bank of Communications
3690.HK,Meituan
3988.HK,Bank of China
6098.HK,Country Garden Services
6690.HK,Haier Smart Home
6862.HK,Haidilao International
9618.HK,JD.com
9633.HK,Nongfu Spring
9888.HK,Baidu
9988.HK,Alibaba Group
9999.HK,NetEase
